timestamp_ms,over,ball,bowler_id,batsman_id,pitch_acquire_ms,pitch_release_ms,outcome,runs,commentary
1774461764905.680,7,2,2,24,1774461765939.371,1774461766942.106,1,1,"Over 7.2  Shivam Dube      1"
1774461764905.680,7,2,2,24,1774461766952.516,1774461767965.590,1,1,"Over 7.2  Shivam Dube      1"
1774461764905.680,7,2,2,24,1774461767976.252,1774461768992.869,1,1,"Over 7.2  Shivam Dube      1"
1774461769046.678,8,1,3,24,1774461769046.638,1774461769046.977,4,4,"Over 8.1  Shivam Dube      4"
1774461769060.102,8,2,3,24,1774461769057.110,1774461769060.606,•,0,"Over 8.2  Shivam Dube      •"
1774461769073.834,8,3,3,24,1774461769070.723,1774461769074.278,1,1,"Over 8.3  Shivam Dube      1"
1774461769073.834,8,3,3,24,1774461769084.492,1774461770085.562,1,1,"Over 8.3  Shivam Dube      1"
1774461769073.834,8,3,3,24,1774461770095.775,1774461771097.307,1,1,"Over 8.3  Shivam Dube      1"
1774461769073.834,8,3,3,24,1774461771107.441,1774461772108.191,1,1,"Over 8.3  Shivam Dube      1"
1774461772162.002,9,1,4,24,1774461772161.951,1774461772162.271,1,1,"Over 9.1  Shivam Dube      1"
1774461772162.002,9,1,4,24,1774461772172.421,1774461773178.022,1,1,"Over 9.1  Shivam Dube      1"
1774461772162.002,9,1,4,24,1774461773188.151,1774461774194.181,1,1,"Over 9.1  Shivam Dube      1"
1774461772162.002,9,1,4,24,1774461774204.323,1774461775209.908,1,1,"Over 9.1  Shivam Dube      1"
1774461772162.002,9,1,4,24,1774461775220.036,1774461776225.556,1,1,"Over 9.1  Shivam Dube      1"
1774461772162.002,9,1,4,24,1774461776235.689,1774461777240.675,1,1,"Over 9.1  Shivam Dube      1"
1774461777294.208,10,1,5,24,1774461777294.138,1774461777294.558,W(B),0,"Over 10.1  Shivam Dube      W(B)"
1774461777294.208,10,1,5,24,1774461777304.691,1774461777307.715,W(B),0,"Over 10.1  Shivam Dube      W(B)"
1774461777294.208,10,1,5,24,1774461777317.851,1774461778319.070,W(B),0,"Over 10.1  Shivam Dube      W(B)"
1774461777294.208,10,1,5,24,1774461778329.214,1774461779330.387,W(B),0,"Over 10.1  Shivam Dube      W(B)"
1774461777294.208,10,1,5,24,1774461779340.545,1774461780342.098,W(B),0,"Over 10.1  Shivam Dube      W(B)"
1774461777294.208,10,1,5,24,1774461780352.239,1774461781353.417,W(B),0,"Over 10.1  Shivam Dube      W(B)"
1774461777294.208,10,1,6,24,1774461781408.917,1774461782410.464,W(B),0,"Over 10.1  Shivam Dube      W(B)"
1774461777294.208,10,1,6,24,1774461782420.636,1774461783433.653,W(B),0,"Over 10.1  Shivam Dube      W(B)"
1774461777294.208,10,1,6,24,1774461783443.780,1774461784457.049,W(B),0,"Over 10.1  Shivam Dube      W(B)"
1774461777294.208,10,1,6,24,1774461784467.168,1774461785470.455,W(B),0,"Over 10.1  Shivam Dube      W(B)"
1774461777294.208,10,1,6,24,1774461785480.593,1774461786482.998,W(B),0,"Over 10.1  Shivam Dube      W(B)"
1774461777294.208,10,1,6,24,1774461786493.159,1774461787506.985,W(B),0,"Over 10.1  Shivam Dube      W(B)"
1774461787560.556,12,1,1,25,1774461787560.512,1774461787560.869,•,0,"Over 12.1  Shreyash Gopal   •"
1774461787574.007,12,2,1,25,1774461787570.971,1774461787574.473,1,1,"Over 12.2  Shreyash Gopal   1"
1774461787574.007,12,2,1,25,1774461787584.738,1774461788596.405,1,1,"Over 12.2  Shreyash Gopal   1"
1774461787574.007,12,2,1,25,1774461788606.537,1774461789613.837,1,1,"Over 12.2  Shreyash Gopal   1"
1774461787574.007,12,2,1,25,1774461789623.958,1774461790628.039,1,1,"Over 12.2  Shreyash Gopal   1"
1774461787574.007,12,2,1,25,1774461790638.251,1774461791645.567,1,1,"Over 12.2  Shreyash Gopal   1"
1774461791699.502,13,1,2,25,1774461791699.447,1774461791699.850,•,0,"Over 13.1  Shreyash Gopal   •"
1774461791712.968,13,2,2,25,1774461791709.997,1774461791713.424,1,1,"Over 13.2  Shreyash Gopal   1"
1774461791712.968,13,2,2,25,1774461791723.608,1774461792724.830,1,1,"Over 13.2  Shreyash Gopal   1"
1774461791712.968,13,2,2,25,1774461792734.958,1774461793735.612,1,1,"Over 13.2  Shreyash Gopal   1"
1774461791712.968,13,2,2,25,1774461793745.780,1774461794746.687,1,1,"Over 13.2  Shreyash Gopal   1"
1774461791712.968,13,2,2,25,1774461794756.813,1774461795757.555,1,1,"Over 13.2  Shreyash Gopal   1"
1774461795811.366,14,1,3,25,1774461795811.312,1774461795811.713,4,4,"Over 14.1  Shreyash Gopal   4"
1774461795824.834,14,2,3,25,1774461795821.880,1774461795825.381,•,0,"Over 14.2  Shreyash Gopal   •"
1774461795838.454,14,3,3,25,1774461795835.509,1774461795838.930,1,1,"Over 14.3  Shreyash Gopal   1"
1774461795838.454,14,3,3,25,1774461795849.366,1774461796851.361,1,1,"Over 14.3  Shreyash Gopal   1"
1774461795838.454,14,3,3,25,1774461796861.797,1774461797862.939,1,1,"Over 14.3  Shreyash Gopal   1"
1774461795838.454,14,3,3,25,1774461797873.086,1774461798874.178,1,1,"Over 14.3  Shreyash Gopal   1"
1774461798927.624,15,1,4,25,1774461798927.573,1774461798927.949,2,2,"Over 15.1  Shreyash Gopal   2"
1774461798941.108,15,2,4,25,1774461798938.129,1774461798941.620,1,1,"Over 15.2  Shreyash Gopal   1"
1774461798941.108,15,2,4,25,1774461798951.902,1774461799954.064,1,1,"Over 15.2  Shreyash Gopal   1"
1774461798941.108,15,2,4,25,1774461799964.189,1774461800966.464,1,1,"Over 15.2  Shreyash Gopal   1"
1774461798941.108,15,2,4,25,1774461800976.608,1774461801978.890,1,1,"Over 15.2  Shreyash Gopal   1"
1774461798941.108,15,2,4,25,1774461801989.049,1774461802991.633,1,1,"Over 15.2  Shreyash Gopal   1"
1774461803045.339,16,1,5,25,1774461803045.276,1774461803045.670,1,1,"Over 16.1  Shreyash Gopal   1"
1774461803045.339,16,1,5,25,1774461803055.821,1774461804065.874,1,1,"Over 16.1  Shreyash Gopal   1"
1774461803045.339,16,1,5,25,1774461804075.990,1774461805088.716,1,1,"Over 16.1  Shreyash Gopal   1"
1774461803045.339,16,1,5,25,1774461805098.836,1774461806108.506,1,1,"Over 16.1  Shreyash Gopal   1"
1774461803045.339,16,1,5,25,1774461806118.604,1774461807128.952,1,1,"Over 16.1  Shreyash Gopal   1"
1774461803045.339,16,1,5,25,1774461807139.063,1774461808149.180,1,1,"Over 16.1  Shreyash Gopal   1"
1774461808203.490,17,1,1,25,1774461808203.449,1774461808203.796,W(B),0,"Over 17.1  Shreyash Gopal   W(B)"
1774461808203.490,17,1,1,25,1774461808213.945,1774461808216.985,W(B),0,"Over 17.1  Shreyash Gopal   W(B)"
1774461808203.490,17,1,1,25,1774461808227.100,1774461809228.882,W(B),0,"Over 17.1  Shreyash Gopal   W(B)"
1774461808203.490,17,1,1,25,1774461809238.988,1774461810240.359,W(B),0,"Over 17.1  Shreyash Gopal   W(B)"
1774461808203.490,17,1,1,25,1774461810250.818,1774461811252.541,W(B),0,"Over 17.1  Shreyash Gopal   W(B)"
1774461808203.490,17,1,1,25,1774461811262.653,1774461812264.039,W(B),0,"Over 17.1  Shreyash Gopal   W(B)"
1774461808203.490,17,1,3,25,1774461812319.742,1774461813321.672,W(B),0,"Over 17.1  Shreyash Gopal   W(B)"
1774461808203.490,17,1,3,25,1774461813331.781,1774461814333.759,W(B),0,"Over 17.1  Shreyash Gopal   W(B)"
1774461808203.490,17,1,3,25,1774461814343.865,1774461815345.767,W(B),0,"Over 17.1  Shreyash Gopal   W(B)"
1774461808203.490,17,1,3,25,1774461815355.882,1774461816358.094,W(B),0,"Over 17.1  Shreyash Gopal   W(B)"
1774461808203.490,17,1,3,25,1774461816368.199,1774461817369.968,W(B),0,"Over 17.1  Shreyash Gopal   W(B)"
1774461808203.490,17,1,3,25,1774461817380.071,1774461818382.135,W(B),0,"Over 17.1  Shreyash Gopal   W(B)"
1774461818437.348,19,1,1,26,1774461818437.287,1774461818437.692,1,1,"Over 19.1  M. S. Dhoni      1"
1774461818437.348,19,1,1,26,1774461818447.801,1774461819466.817,1,1,"Over 19.1  M. S. Dhoni      1"
1774461818437.348,19,1,1,26,1774461819476.976,1774461820478.397,1,1,"Over 19.1  M. S. Dhoni      1"
1774461818437.348,19,1,1,26,1774461820488.523,1774461821490.167,1,1,"Over 19.1  M. S. Dhoni      1"
1774461818437.348,19,1,1,26,1774461821500.333,1774461822501.904,1,1,"Over 19.1  M. S. Dhoni      1"
1774461818437.348,19,1,1,26,1774461822512.413,1774461823514.447,1,1,"Over 19.1  M. S. Dhoni      1"
1774461823568.719,20,1,2,26,1774461823568.677,1774461823568.989,•,0,"Over 20.1  M. S. Dhoni      •"
1774461823582.139,20,2,2,26,1774461823579.135,1774461823582.580,1,1,"Over 20.2  M. S. Dhoni      1"
